,0
48,1
49,1
90,1
113,1
128,1
148,1
151,1
161,1
223,1
226,1
242,1
245,1
296,1
349,1
395,1
433,1
447,1
497,1
523,1
556,1
728,1
733,1
743,1
746,1
796,1
811,1
816,1
847,1
857,1
867,1
891,1
954,1
956,1
959,1
996,1
1044,1
1047,1
1079,1
1097,1
1137,1
1163,1
1166,1
1210,1
1234,1
1237,1
1241,1
1252,1
1259,1
1283,1
1373,1
1402,1
1467,1
1508,1
1541,1
1551,1
1581,1
1582,1
1611,1
1618,1
1644,1
1662,1
1822,1
1825,1
1848,1
1851,1
1855,1
1858,3
1877,1
1922,1
1950,1
1958,1
2005,1
2015,1
2017,1
2199,1
2247,2
2248,1
2286,1
2310,1
2369,1
2440,1
2444,1
2445,1
2459,1
2482,1
2559,1
2612,1
2626,1
2642,1
2645,1
2686,1
2742,1
2760,1
2810,1
2817,1
2825,1
2842,1
2866,1
2890,1
2893,1
2917,1
2919,1
2955,1
2961,1
2972,1
2979,1
3019,1
3022,1
3055,1
3074,1
3084,1
3104,1
3107,1
3113,1
3136,1
3149,1
3205,1
3219,1
3222,3
3270,1
3310,1
3421,1
3423,1
3469,1
3489,1
3513,1
3516,1
3610,1
3687,1
3689,1
3721,1
3798,1
3811,2
3821,1
3824,1
3916,1
3918,1
3940,1
3954,1
3980,1
3984,1
3986,1
3992,1
4125,1
4126,1
4161,1
4172,1
4224,1
4230,1
4269,1
4273,1
4280,1
4322,1
4342,1
4351,1
4379,1
4469,1
4486,1
4489,1
4503,1
4517,1
4522,1
4593,1
4622,1
4642,1
4672,1
4692,1
4693,1
4718,1
4802,1
4906,1
4927,1
4933,1
4935,1
4974,1
5001,1
5008,1
5028,1
5079,1
5145,1
5159,1
5226,1
5276,1
5287,1
5363,1
5398,1
5405,1
5432,1
5475,1
5488,1
5516,1
5569,1
5591,1
5597,1
5599,1
5600,1
5608,1
5632,1
5670,1
5673,1
5693,1
5695,1
5697,1
5761,1
5785,1
5795,1
5845,1
5847,1
5889,1
5917,1
5928,1
5959,1
5962,1
6092,1
6139,1
6159,1
6193,1
6199,1
6262,1
6278,1
6312,1
6321,1
6341,1
6364,1
6402,1
6435,1
6468,1
6480,1
6500,1
6502,1
6553,1
6641,1
6644,1
6645,1
6729,1
6735,1
6785,1
6828,1
6911,1
6923,1
6930,1
6975,1
7004,1
7075,1
7113,1
7137,1
7174,1
7194,1
7237,1
7240,1
7251,1
7258,1
7326,1
7331,1
7386,1
7393,1
7423,1
7450,1
7520,1
7531,1
7537,1
7605,1
7607,1
7616,1
7655,1
7662,1
7692,1
7705,1
7713,1
7745,1
7752,1
7753,1
7761,1
7776,1
7787,1
7844,1
7863,1
7867,1
7882,1
7902,1
7918,1
8041,1
8058,1
8066,1
8086,1
8097,1
8109,1
8117,1
8137,1
8242,1
8272,1
8373,1
8388,1
8394,1
8411,1
8427,1
8454,1
8455,1
8507,1
8518,1
8528,1
8535,1
8557,1
8584,3
8609,1
8669,1
8720,1
8744,1
8777,1
8779,1
8791,1
8826,1
8841,1
8844,1
8851,1
8888,1
8916,1
8951,1
8974,1
8980,1
8990,1
8995,1
9003,1
9125,1
9135,1
9158,1
9180,1
9188,1
9204,1
9210,1
9235,1
9249,2
9257,1
9287,1
9317,1
9322,1
9330,1
9340,1
9352,1
9356,1
9368,1
9391,1
9434,1
9461,1
9472,1
9488,1
9523,1
9534,1
9574,1
9721,1
9755,1
9768,1
9776,1
9785,1
9796,1
9807,1
9833,1
9843,1
9870,1
9952,1
9954,1
9961,1
9967,1
9970,1
9995,1
10066,1
10138,1
10139,1
10156,1
10183,1
10210,1
10228,1
10270,1
10276,1
10355,1
10375,1
10408,1
10437,1
10462,1
10471,1
10473,1
10515,1
10542,1
10551,1
10566,1
10568,1
10654,1
10678,1
10689,1
10744,1
10810,1
10884,1
10907,1
10979,3
10984,1
10988,1
11042,1
11043,1
11086,3
11093,1
11161,1
11185,1
11202,1
11220,1
11248,1
11261,1
11270,1
11299,1
11351,1
11429,1
11465,1
11467,1
11473,1
11484,1
11524,1
11561,1
11562,1
11564,1
11633,1
11700,1
11727,1
11753,1
11776,1
11806,1
11836,1
11862,1
11877,1
11904,1
11914,1
11961,1
11993,1
11997,1
12037,1
12071,1
12103,1
12111,1
12118,1
12131,1
12148,1
12149,1
12164,1
12165,1
12213,1
12256,1
12330,1
12342,1
12359,1
12368,1
12386,1
12389,1
12399,1
12417,1
12437,1
12472,1
12473,1
12487,1
12492,1
12784,1
12789,1
12797,1
12800,1
13005,1
13066,1
13089,1
13613,1
13632,1
13636,1
13637,1
13638,1
13639,1
13644,1
13645,1
13647,1
13648,1
13652,1
13653,1
13654,1
13656,1
13658,1
13745,1
13755,1
13776,1
13988,1
13989,1
13998,1
14014,1
14017,1
14024,1
14087,1
14095,1
14152,2
14208,1
14235,1
15183,1
15184,1
15185,1
15186,1
15187,1
15188,1
15189,1
15190,1
15191,1
15192,1
15193,1
15194,1
15195,1
15196,1
15197,1
15198,1
15199,1
15200,1
15201,1
15202,1
15203,1
15204,1
15205,1
15206,1
15207,1
15208,1
15209,1
15210,1
15211,1
15943,1
15947,1
15949,1
15952,1
15964,1
15965,1
15971,1
15977,1
15980,1
15996,1
16002,1
16005,1
16006,1
16010,1
16022,1
16115,1
16207,1
16212,1
16218,1
16219,1
16220,1
16221,1
16222,1
16223,1
16224,1
16225,1
16226,1
16227,1
16228,1
16229,1
16230,1
16231,1
16232,1
16233,1
16234,1
16235,1
16236,1
16237,1
16238,1
16239,1
16241,1
16242,1
16248,1
16253,1
16950,1
16951,1
16952,1
16953,1
16954,1
16956,1
16957,1
17165,1
17354,1
17506,1
17507,1
17509,1
17510,1
17511,1
17512,1
17513,1
17514,1
17515,1
17516,1
17517,1
17518,1
17519,1
17520,1
17521,1
17522,1
18115,1
18117,1
18125,1
19661,1
19663,1
19664,1
19665,1
19667,1
19669,1
19671,1
19672,1
19673,1
19674,1
19675,1
19677,1
19678,1
19679,1
19680,1
19681,1
19682,1
19683,1
19684,1
19685,1
19686,1
19688,1
19689,1
19690,1
19691,1
19693,1
19694,1
19695,1
19696,1
19698,1
19699,1
19700,1
19701,1
19703,1
19704,1
19706,1
19707,1
19709,1
19710,1
19711,1
19712,1
19713,1
19714,1
19716,1
19717,1
19719,1
19721,1
19724,1
19725,1
19726,1
19727,1
19728,1
19730,1
19731,1
19732,1
19734,1
19735,1
19736,1
19737,1
19739,1
19740,1
19741,1
19742,1
20785,1
20937,1
21103,1
21118,1
21119,1
21120,1
21129,1
21132,1
21138,1
21139,1
21140,1
21141,1
21142,1
21144,1
21145,1
21146,1
21147,1
21148,1
21149,1
21150,1
21151,1
21152,1
21153,1
21154,1
21155,1
21156,1
21157,1
21159,1
21184,1
21185,1
21191,1
21192,1
21193,1
21196,1
21205,1
21207,1
21210,1
21758,1
21760,1
21770,1
21774,1
21785,1
21834,1
21837,1
21838,1
21841,1
21844,1
21846,1
21847,1
21848,1
21849,1
21851,1
21852,1
21853,1
21854,1
21855,1
21858,1
21862,1
21863,1
